zipcode,city,state,lat,lng,population
00601,Adjuntas,PR,18.18027,-66.75266,16721.0
00602,Aguada,PR,18.36075,-67.17541,37510.0
00603,Aguadilla,PR,18.45744,-67.12225,48317.0
00606,Maricao,PR,18.16585,-66.93716,5435.0
00610,Anasco,PR,18.2911,-67.12243,25413.0
00611,Angeles,PR,18.27698,-66.80688,1522.0
00612,Arecibo,PR,18.41283,-66.7051,62462.0
00616,Bajadero,PR,18.41878,-66.6679,9836.0
00617,Barceloneta,PR,18.44598,-66.56006,22699.0
00622,Boqueron,PR,17.98892,-67.1566,7950.0
00623,Cabo Rojo,PR,18.08429,-67.15336,39005.0
00624,Penuelas,PR,18.05905,-66.71932,21374.0
00627,Camuy,PR,18.41905,-66.86037,32753.0
00631,Castaner,PR,18.1852,-66.83169,1357.0
00637,Sabana Grande,PR,18.081,-66.94659,22884.0
00638,Ciales,PR,18.28462,-66.5137,17410.0
00641,Utuado,PR,18.26742,-66.70212,23962.0
00646,Dorado,PR,18.43251,-66.28429,36099.0
00647,Ensenada,PR,17.96667,-66.94266,4611.0
00650,Florida,PR,18.34487,-66.58347,13457.0
00652,Garrochales,PR,18.45614,-66.60194,4492.0
00653,Guanica,PR,17.99413,-66.90266,8665.0
00656,Guayanilla,PR,18.04186,-66.79123,17815.0
00659,Hatillo,PR,18.41036,-66.79691,37203.0
00660,Hormigueros,PR,18.13412,-67.11399,15439.0
00662,Isabela,PR,18.46622,-67.01508,40705.0
00664,Jayuya,PR,18.21064,-66.59066,14816.0
00667,Lajas,PR,18.01246,-67.0417,23116.0
00669,Lares,PR,18.27019,-66.86727,27534.0
00670,Las Marias,PR,18.23782,-66.98852,8553.0
00674,Manati,PR,18.42229,-66.4891,39288.0
00676,Moca,PR,18.37897,-67.08098,36836.0
00677,Rincon,PR,18.33535,-67.23155,15432.0
00678,Quebradillas,PR,18.42949,-66.93016,24848.0
00680,Mayaguez,PR,18.16307,-67.36122,42817.0
00682,Mayaguez,PR,18.22415,-67.15309,29939.0
00683,San German,PR,18.10926,-67.03803,29431.0
00685,San Sebastian,PR,18.33656,-66.97518,40323.0
00687,Morovis,PR,18.31707,-66.42029,28534.0
00688,Sabana Hoyos,PR,18.3807,-66.62496,10985.0
00690,San Antonio,PR,18.49363,-67.09734,6275.0
00692,Vega Alta,PR,18.40905,-66.33768,32717.0
00693,Vega Baja,PR,18.42633,-66.39811,55725.0
00694,Vega Baja,PR,18.48327,-66.39269,125.0
00698,Yauco,PR,18.07274,-66.85519,32945.0
00703,Aguas Buenas,PR,18.24739,-66.13143,24642.0
